time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.016,0.16115,0.15507,-0.12744
0.025,0.14479,0.14853,-0.15597
0.038,0.06341,0.16602,-0.05980
0.046,0.01888,0.10153,-0.10757
0.062,0.04235,0.13000,-0.11726
0.070,0.05679,0.11470,-0.13646
0.087,0.09649,0.10423,-0.14577
0.097,0.01948,0.09232,-0.14580
0.113,0.04423,0.09372,-0.08377
0.118,0.02452,0.12104,-0.15557
0.139,0.05874,0.11817,-0.16071
0.139,0.05874,0.11817,-0.16071
0.144,0.02949,0.14990,-0.08408
0.169,0.04988,0.17829,-0.08457
0.169,0.04988,0.17829,-0.08457
0.169,-0.02288,0.19504,-0.05579
0.187,-0.05292,0.19990,-0.10922
0.196,-0.11126,0.16222,-0.04284
0.212,-0.14750,0.14374,-0.09176
0.220,-0.08602,0.06360,-0.03494
0.237,0.02767,0.08019,-0.07858
0.247,0.09750,0.09770,-0.13103
0.263,0.14899,0.03425,-0.14943
0.268,0.17557,0.04806,-0.09170
0.291,0.09038,0.01502,-0.11033
0.291,0.09038,0.01502,-0.11033
0.299,0.05838,0.05630,-0.13932
0.314,-0.02156,0.07460,-0.11081
0.316,-0.05259,0.05910,-0.15427
0.331,-0.00397,0.10825,-0.09700
0.336,0.04002,0.11224,-0.10193
0.353,0.04194,0.10840,-0.10229
0.360,-0.04739,0.08225,-0.06427
0.375,-0.02092,0.07450,-0.09820
0.381,0.01472,0.10227,0.00205
0.397,0.03692,0.07077,-0.05589
0.407,-0.13235,0.04597,-0.12815
0.426,-0.12885,0.11089,-0.15802
0.428,-0.07074,0.09067,-0.11025
0.451,-0.11696,0.08299,-0.15905
0.451,-0.11696,0.08299,-0.15905
0.460,-0.07786,0.04912,-0.13584
0.471,-0.04756,0.07640,-0.16002
0.476,-0.07452,0.03216,-0.18901
0.491,-0.02066,-0.00617,-0.12213
0.496,-0.06253,0.00834,-0.07919
0.513,0.00688,0.02326,-0.08427
0.518,0.01599,0.02303,-0.17040
0.542,0.03020,0.03152,-0.13689
0.542,0.03020,0.03152,-0.13689
0.547,0.00129,0.06902,-0.09380
0.572,0.01734,0.04643,-0.21860
0.573,0.01734,0.04643,-0.21860
0.586,-0.05411,0.06013,-0.16599
0.587,-0.11837,0.03509,-0.09516
0.598,-0.17205,0.04330,-0.15793
0.615,-0.18465,0.07443,-0.02953
0.624,-0.11081,0.11979,0.00846
0.639,-0.10631,0.08751,-0.06402
0.649,-0.07650,0.10481,-0.04983
0.668,-0.09473,0.08593,-0.08836
0.670,0.03919,0.12333,-0.01175
0.692,0.07213,0.08007,-0.05907
0.692,0.07213,0.08007,-0.05907
0.707,0.04873,0.08643,-0.11128
0.745,-0.01933,0.10372,-0.14471
0.745,-0.13239,0.08727,-0.13541
0.746,-0.12481,0.12100,-0.08798
0.746,-0.11037,0.10999,0.03169
0.757,-0.14211,0.08676,-0.08354
0.759,0.07417,0.06648,-0.03099
0.782,0.11001,0.01330,-0.10609
0.782,0.11001,0.01330,-0.10609
0.788,0.17003,-0.06316,-0.26382
0.810,0.15527,-0.06191,-0.26190
0.810,0.15527,-0.06191,-0.26190
0.811,0.04437,0.09972,-0.13733
0.833,0.08812,0.04052,-0.34689
0.841,0.21662,0.03581,-0.10196
