time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.054,-2.62829,4.66727,109.96095
0.174,-2.63884,4.67065,109.69415
0.294,-2.66682,4.67687,109.14417
0.359,-2.68144,4.68679,109.10894
0.505,-2.68625,4.66743,109.07053
0.640,-2.69719,4.63738,108.23929
0.655,-2.71163,4.63413,108.13399
0.788,-2.70956,4.57688,108.03146
0.923,-2.72400,4.49532,107.95673
0.954,-2.72822,4.42162,107.93809
1.075,-2.73171,4.25108,107.82079
1.195,-2.73637,4.13697,107.72063
1.279,-2.73633,4.08319,107.67070
1.424,-2.75906,3.89649,107.50431
1.500,-2.77730,3.77406,108.10046
1.560,-2.78099,3.67700,108.15690
1.686,-2.77512,3.54714,108.82957
1.816,-2.80423,3.37508,109.43069
1.855,-2.79199,3.31180,109.75507
1.975,-2.79622,3.21173,110.62988
2.097,-2.80344,3.05124,110.65022
2.208,-2.80541,3.00397,110.62286
2.280,-2.83341,2.90076,109.54518
2.396,-2.85025,2.87148,108.14024
2.466,-2.83717,2.84340,107.85075
2.598,-2.78419,2.75845,107.02671
2.697,-2.81774,2.59794,106.75522
2.756,-2.78465,2.49576,106.63329
2.876,-2.77335,2.14251,106.27953
2.997,-2.72491,1.79245,105.92009
3.062,-2.74937,1.65375,105.79144
3.178,-2.76699,1.35741,105.50410
3.297,-2.72758,1.16916,105.19910
3.358,-2.70924,1.11715,105.81168
3.498,-2.72145,1.26016,107.13822
3.626,-2.73951,1.24233,107.31846
3.658,-2.66479,1.07446,107.15509
3.777,-2.60658,0.50326,106.60989
3.906,-2.62158,0.29701,106.16357
3.957,-2.64978,0.37631,105.84646
4.079,-2.65310,0.33680,105.62167
4.197,-2.57868,0.08414,104.72975
4.279,-2.54584,-0.00145,104.25459
4.406,-2.53818,-0.06986,104.00750
4.542,-2.61499,-0.02320,103.24593
4.558,-2.58200,-0.08473,103.06676
4.682,-2.58287,-0.15044,102.95007
4.811,-2.61659,-0.18243,102.91950
4.859,-2.59170,-0.11895,102.97760
4.978,-2.58351,-0.08700,103.00770
5.098,-2.60418,-0.14068,102.95821
5.162,-2.59709,-0.28659,102.80877
5.323,-2.61326,-0.61532,102.47826
5.402,-2.50779,-1.11702,101.94529
5.460,-2.48043,-1.40005,101.65088
5.586,-2.42368,-1.69331,101.34065
5.707,-2.44909,-1.84381,101.19066
5.759,-2.38224,-1.98349,101.03611
5.879,-2.34174,-2.14650,100.19482
6.000,-2.41780,-2.10855,99.93622
6.067,-2.39152,-2.17735,99.83438
6.180,-2.37234,-2.39296,99.59630
6.300,-2.46196,-2.48503,98.59863
6.360,-2.49543,-2.49341,98.51344
6.502,-2.47635,-2.43973,98.53044
6.632,-2.42788,-2.64506,98.30596
6.660,-2.46101,-2.67641,98.27632
6.781,-2.50244,-2.65157,98.17501
6.904,-2.62278,-2.13518,98.70501
6.961,-2.69343,-1.75339,99.10571
7.081,-2.79232,-1.24187,99.64541
7.200,-2.83637,-0.88916,100.01463
7.282,-2.92849,-0.61471,100.31212
7.418,-3.06720,-0.41577,100.54168
7.502,-3.08861,-0.12599,100.84383
7.563,-3.08807,-0.00253,100.97051
7.682,-3.04443,0.23715,101.98029
7.802,-3.12375,0.48364,103.11115
7.862,-3.13593,0.62361,103.36213
7.982,-3.20558,0.80639,103.60777
8.101,-3.15431,1.05203,103.83829
8.195,-3.14304,1.16101,103.38099
8.284,-3.12083,1.17146,102.90933
8.406,-3.10508,1.15315,102.83161
8.469,-3.14201,1.25299,102.93259
8.582,-3.12575,1.24329,102.91699
8.732,-3.10111,1.18499,102.85416
8.762,-3.15943,1.09019,102.77602
8.883,-3.19942,1.04907,102.74555
9.002,-3.32118,0.94792,102.67567
9.063,-3.38567,0.96827,102.71092
9.189,-3.46434,0.99070,102.75182
9.303,-3.51565,0.93627,102.71048
9.363,-3.58545,0.91796,102.70901
9.498,-3.69901,0.90806,102.69880
9.631,-3.82567,0.83998,102.65719
9.663,-3.82329,0.77904,102.59659
9.792,-3.80242,0.70684,102.40958
9.903,-3.83963,0.82391,102.43784
9.975,-3.94800,0.86215,102.49127
10.083,-4.10811,0.95542,102.61486
10.204,-4.02993,0.97638,102.61649
10.295,-3.94931,0.91266,101.84307
10.419,-3.92196,0.75081,101.35916
10.548,-4.02930,0.74136,101.33452
10.564,-4.08217,0.78084,101.08450
10.685,-4.15597,0.98421,100.85773
10.809,-4.20854,1.19386,101.02600
10.864,-4.24950,1.33767,101.17445
10.984,-4.25496,1.52102,101.29454
11.105,-4.08172,1.68607,101.15797
11.204,-4.07589,1.73937,101.89650
11.325,-4.04310,1.94788,102.40063
11.407,-4.19656,2.31443,103.85935
11.465,-4.25770,2.48136,104.35402
11.598,-4.31118,2.91254,105.88540
11.721,-4.38516,3.37676,107.79977
11.765,-4.41424,3.52749,108.89684
11.885,-4.46603,3.90209,109.72534
12.005,-4.53016,4.22162,110.69599
12.100,-4.50614,4.32976,110.97588
12.193,-4.58592,4.75161,111.78070
12.306,-4.76061,5.23670,112.50270
12.370,-4.78266,5.43316,112.71014
12.500,-4.92176,6.04887,113.34846
12.646,-4.98078,6.73784,114.00261
12.666,-4.98433,7.02149,114.30339
12.787,-4.88979,7.54606,114.81754
12.907,-4.81746,8.05286,115.24059
12.975,-4.76393,8.22751,115.36605
13.087,-4.66478,8.55291,115.21092
13.206,-4.46814,8.87749,114.92655
13.282,-4.30868,9.06990,114.74095
13.422,-3.98914,9.35146,113.86752
13.548,-3.70008,9.44013,112.78217
13.567,-3.60859,9.42187,111.85623
13.688,-3.43997,9.38648,110.65527
13.820,-3.23948,9.35013,109.12370
13.867,-3.13753,9.25480,108.27480
13.987,-2.91742,9.28165,106.72205
14.108,-2.93229,9.33185,105.41435
14.199,-2.85847,9.31793,104.55664
14.332,-2.86851,9.38634,103.39989
14.412,-2.80645,9.49050,102.17467
14.468,-2.76023,9.56529,101.36485
14.596,-2.57021,9.66013,99.77428
14.725,-2.38016,9.46822,97.74854
14.769,-2.31272,9.32628,96.56699
14.888,-2.21498,9.02929,93.99819
15.008,-2.15030,8.74729,91.18035
15.111,-2.13926,8.58856,89.83612
15.195,-1.76318,8.36213,87.47594
