time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.025,-0.09132,3.22126,-43.53027
0.141,-0.10509,3.24557,-43.53385
0.261,-0.10386,3.24785,-43.51885
0.323,-0.11104,3.25903,-43.52185
0.441,-0.11136,3.27914,-43.54081
0.563,-0.13211,3.26925,-43.55827
0.621,-0.12711,3.16214,-43.56325
0.746,-0.14307,2.97535,-43.55525
0.862,-0.15110,2.75790,-43.55872
0.923,-0.16351,2.71442,-43.56523
1.044,-0.15936,2.60931,-43.56450
1.162,-0.16420,2.47100,-43.56163
1.223,-0.20051,2.45264,-43.56951
1.346,-0.14589,2.34547,-43.60334
1.462,-0.14982,2.27698,-43.63564
1.525,-0.12114,2.30048,-43.65487
1.644,-0.19843,2.33348,-43.67395
1.765,-0.13500,2.12135,-43.72924
1.824,-0.15454,2.12803,-43.73671
1.944,-0.13783,2.04222,-43.77355
2.063,-0.12832,1.95628,-43.80680
2.124,-0.13320,1.89063,-43.81599
2.246,-0.12418,1.79668,-43.86344
2.364,-0.10531,1.63520,-43.88983
2.424,-0.08758,1.50520,-43.90355
2.545,-0.09757,1.26206,-43.94112
2.664,-0.15986,1.13867,-43.96470
2.726,-0.19304,1.10669,-44.00560
2.845,-0.20964,0.86059,-44.04670
2.965,-0.19097,0.61509,-44.08171
3.025,-0.17109,0.65262,-44.10322
3.146,-0.08157,0.73028,-44.15625
3.264,-0.09811,0.24505,-44.21620
3.329,-0.11585,0.12428,-44.24157
3.445,0.00790,-0.20288,-44.27498
3.564,-0.21636,-0.66430,-44.32048
3.625,-0.29053,-0.70561,-44.34494
3.745,-0.33291,-1.00231,-44.38636
3.865,-0.15626,-1.31206,-44.40343
3.925,-0.20695,-1.63456,-44.42056
4.046,-0.18422,-2.20019,-44.44344
4.165,-0.16769,-2.61211,-44.43413
4.227,0.01283,-3.05522,-44.43575
4.346,-0.06385,-3.41964,-44.44444
4.466,0.07530,-2.92864,-44.46502
4.526,-0.03961,-2.56804,-44.45538
4.646,-0.06555,-2.73076,-44.41129
4.766,-0.25188,-3.28089,-44.41575
4.828,-0.37807,-3.17374,-44.42647
4.947,-0.24657,-3.01163,-44.42971
5.066,-0.26443,-3.06637,-44.41469
5.126,-0.17305,-3.11435,-44.41810
5.248,-0.21499,-3.00096,-44.43961
5.368,0.04889,-2.76698,-44.43836
5.428,0.05833,-2.98472,-44.43122
5.550,0.19159,-3.34072,-44.42578
5.668,0.27617,-3.97300,-44.42390
5.727,0.16584,-3.95668,-44.44082
5.848,0.08488,-3.58140,-44.45826
5.967,0.13468,-2.40801,-44.45869
6.027,0.01763,-2.11738,-44.47664
6.150,-0.03669,-1.72484,-44.54145
6.267,0.08665,-1.50428,-44.56501
6.327,0.16005,-1.12541,-44.56356
6.449,0.07016,-0.84408,-44.59096
6.569,0.04185,-0.61771,-44.63934
6.630,0.07417,-0.37958,-44.72971
